block_number,row,tracker,pier_label,pier_type,x,y,x_rel,y_rel
1,64,1,P1,HAP,1754.414856,1967.231506,0.520598,0.825181
1,64,1,P2,HAP,1743.764954,1967.231506,0.517438,0.825181
1,64,1,P3,HAP,1731.044861,1967.231506,0.513663,0.825181
1,64,1,P4,HAP,1718.294861,1967.231506,0.50988,0.825181
1,64,1,P5,HAP,1703.504944,1967.231506,0.505491,0.825181
1,65,1,P1,HAP,1749.944885,1960.151489,0.519271,0.822211
1,65,1,P2,HAP,1739.264954,1960.151489,0.516102,0.822211
1,65,1,P3,HAP,1726.544861,1960.151489,0.512328,0.822211
1,65,1,P4,HAP,1713.794861,1960.151489,0.508544,0.822211
1,65,1,P5,HAP,1699.004944,1960.151489,0.504156,0.822211
1,66,1,P1,HAP,1745.684875,1953.071533,0.518007,0.819241
1,66,1,P2,HAP,1735.034851,1953.071533,0.514847,0.819241
1,66,1,P3,HAP,1722.284851,1953.071533,0.511064,0.819241
1,66,1,P4,HAP,1709.56488,1953.071533,0.507289,0.819241
1,66,1,P5,HAP,1694.744934,1953.071533,0.502892,0.819241
1,67,1,P1,HAP,1741.214905,1946.021484,0.516681,0.816284
1,67,1,P2,HAP,1730.534851,1946.021484,0.513512,0.816284
1,67,1,P3,HAP,1717.81488,1946.021484,0.509737,0.816284
1,67,1,P4,HAP,1705.09491,1946.021484,0.505963,0.816284
1,67,1,P5,HAP,1690.274841,1946.021484,0.501565,0.816284
1,70,1,P1,HAP,1727.684875,1924.811523,0.512666,0.807387
1,70,1,P2,HAP,1717.034851,1924.811523,0.509506,0.807387
1,70,1,P3,HAP,1704.31488,1924.811523,0.505731,0.807387
1,70,1,P4,HAP,1691.56488,1924.811523,0.501948,0.807387
1,70,1,P5,HAP,1676.774841,1924.811523,0.497559,0.807387
1,71,1,P1,HAP,1723.214905,1917.731506,0.51134,0.804418
1,71,1,P2,HAP,1712.56488,1917.731506,0.508179,0.804418
1,71,1,P3,HAP,1699.81488,1917.731506,0.504396,0.804418
1,71,1,P4,HAP,1687.09491,1917.731506,0.500622,0.804418
1,71,1,P5,HAP,1672.274841,1917.731506,0.496224,0.804418
1,72,1,P1,SAPE,1718.174866,1910.591553,0.509844,0.801423
1,72,1,P2,SAPE,1707.554871,1910.621521,0.506693,0.801435
1,72,1,P3,SAP,1694.804871,1910.591553,0.502909,0.801423
1,72,1,P4,SAP,1679.984924,1910.621521,0.498512,0.801435
1,72,1,P5,SAP,1665.164856,1910.621521,0.494114,0.801435
1,72,1,P6,SAP,1648.304871,1910.621521,0.489111,0.801435
1,72,1,P7,SAP,1633.424866,1910.651489,0.484696,0.801448
1,72,1,P8,SAP,1616.59491,1910.651489,0.479702,0.801448
1,72,1,P9,SMP,1600.484924,1910.651489,0.474921,0.801448
1,72,1,P10,SAP,1584.434875,1910.4422,0.470159,0.80136
1,72,1,P11,SAP,1567.484924,1910.592224,0.465129,0.801423
1,72,1,P12,SAP,1552.754944,1910.532227,0.460758,0.801398
1,72,1,P13,SAP,1535.774963,1910.532227,0.45572,0.801398
1,72,1,P14,SAP,1520.984924,1910.562195,0.451331,0.80141
1,72,1,P15,SAP,1506.164856,1910.502197,0.446933,0.801385
1,72,1,P16,SAP,1493.444885,1910.4422,0.443159,0.80136
1,72,1,P17,SAPEND,1482.82489,1910.4422,0.440007,0.80136
1,73,1,P1,SAPE,1713.704895,1903.511475,0.508518,0.798453
1,73,1,P2,SAPE,1703.054871,1903.541504,0.505358,0.798465
1,73,1,P3,SAP,1690.3349,1903.541504,0.501583,0.798465
