block_number,row,tracker,total_piers,HAP,HMP,SAP,SAPE,SAPEND,SMP,pier_labels
1,64,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,65,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,66,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,67,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,70,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,71,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,72,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,73,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,74,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,75,1,5,4,1,0,0,0,0,P1 P2 P3 P4 P5
1,75,2,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,76,1,5,4,1,0,0,0,0,P1 P2 P3 P4 P5
1,76,2,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,77,1,3,0,0,0,1,1,1,P1 P2 P5
1,77,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,78,1,3,0,0,0,1,1,1,P1 P2 P5
1,78,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,79,1,3,0,0,0,1,1,1,P1 P2 P5
1,79,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,80,1,3,0,0,0,1,1,1,P1 P2 P5
1,80,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,81,1,3,0,0,0,1,1,1,P1 P2 P5
1,81,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,82,1,4,4,0,0,0,0,0,P1 P2 P3 P4
1,82,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,83,1,4,4,0,0,0,0,0,P1 P2 P3 P4
1,83,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,84,1,8,0,0,4,2,1,1,P1 P2 P3 P4 P5 P6 P8 P9
1,84,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,85,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,85,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,86,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,86,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,87,1,11,0,0,8,2,0,1,P1 P2 P3 P4 P5 P6 P8 P9 P10 P11 P12
1,87,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,88,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,88,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,89,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,89,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,90,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,90,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,91,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,91,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,92,1,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,92,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,93,1,5,4,1,0,0,0,0,P1 P2 P3 P4 P5
1,93,2,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,93,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,94,1,5,4,1,0,0,0,0,P1 P2 P3 P4 P5
1,94,2,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,94,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,95,1,3,0,0,0,1,1,1,P1 P2 P5
1,95,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,95,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,96,1,3,0,0,0,1,1,1,P1 P2 P5
1,96,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,96,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,97,1,4,4,0,0,0,0,0,P1 P2 P3 P4
1,97,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,97,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,98,1,4,4,0,0,0,0,0,P1 P2 P3 P4
1,98,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,98,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,99,1,8,0,0,4,2,1,1,P1 P2 P3 P4 P5 P6 P8 P9
1,99,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,99,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,100,1,8,0,0,4,2,1,1,P1 P2 P3 P4 P5 P6 P8 P9
1,100,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,100,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,101,1,8,0,0,4,2,1,1,P1 P2 P3 P4 P5 P6 P8 P9
1,101,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,101,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,102,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,102,2,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,102,3,17,0,0,14,0,2,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,103,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,103,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,103,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,104,1,11,0,0,8,2,0,1,P1 P2 P3 P4 P5 P6 P8 P9 P10 P11 P12
1,104,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,104,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,105,1,11,0,0,8,2,0,1,P1 P2 P3 P4 P5 P6 P8 P9 P10 P11 P12
1,105,2,12,0,0,9,1,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12
1,105,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,106,1,11,0,0,8,2,0,1,P1 P2 P3 P4 P5 P6 P8 P9 P10 P11 P12
1,106,2,12,0,0,9,1,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12
1,106,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,107,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,107,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,107,3,17,0,0,13,2,1,1,P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P13 P14 P15 P16 P17
1,108,1,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
1,108,2,5,5,0,0,0,0,0,P1 P2 P3 P4 P5
