set_id,set_size,x_center,y_center,x_rel,y_rel,x_min,x_max,y_min,y_max,sap,sape,sapend,smp
S001,11,1116.273,3325.773,0.118299,0.498243,1116.0,1116.5,3164.5,3490.0,6,2,2,1
S002,11,1136.045,3330.682,0.120395,0.498979,1136.0,1136.5,3169.0,3495.0,6,2,2,1
S003,15,1195.967,3381.0,0.126745,0.506517,1195.5,1196.0,3132.0,3624.0,10,2,2,1
S004,15,1215.433,3368.367,0.128808,0.504624,1215.0,1215.5,3119.5,3611.0,10,2,2,1
S005,19,1255.0,3420.868,0.133001,0.51249,1255.0,1255.0,3093.5,3751.0,14,2,2,1
S006,19,1275.0,3408.263,0.135121,0.510601,1275.0,1275.0,3081.0,3738.0,14,2,2,1
S007,6,1344.0,3739.833,0.142433,0.560275,1334.0,1354.0,3706.0,3775.0,1,2,2,1
S008,6,1344.083,3839.25,0.142442,0.575169,1334.0,1354.0,3798.0,3879.5,1,2,2,1
S009,11,1394.0,3842.136,0.147732,0.575601,1394.0,1394.0,3680.5,4006.0,6,2,2,1
S010,11,1413.045,3829.682,0.14975,0.573735,1413.0,1413.5,3668.0,3994.0,6,2,2,1
S011,15,1453.0,3891.833,0.153985,0.583046,1453.0,1453.0,3643.0,4134.5,10,2,2,1
S012,15,1472.967,3879.267,0.156101,0.581164,1472.5,1473.0,3630.5,4122.0,10,2,2,1
S013,6,1670.917,4614.667,0.177079,0.691336,1670.5,1671.0,4537.5,4698.0,1,2,2,1
S014,6,1690.917,4606.583,0.179198,0.690125,1690.5,1691.0,4529.0,4690.5,1,2,2,1
S015,11,1730.0,4674.841,0.18334,0.700351,1730.0,1730.0,4513.5,4839.0,6,2,2,1
S016,11,1750.0,4666.795,0.18546,0.699145,1750.0,1750.0,4505.5,4831.0,6,2,2,1
S017,19,1789.632,3754.553,0.18966,0.56248,1789.5,1790.0,3427.5,4085.0,14,2,2,1
S018,15,1789.667,4757.167,0.189664,0.712684,1789.5,1790.0,4508.5,5000.0,10,2,2,1
S019,19,1809.026,3742.868,0.191715,0.560729,1809.0,1809.5,3415.5,4073.0,14,2,2,1
S020,15,1809.033,4757.033,0.191716,0.712664,1809.0,1809.5,4508.0,5000.0,10,2,2,1
S021,19,1829.026,4835.579,0.193835,0.724431,1829.0,1829.5,4508.5,5166.0,14,2,2,1
S022,19,1848.947,3718.395,0.195946,0.557063,1848.0,1849.0,3391.5,4048.5,14,2,2,1
S023,6,1849.0,4176.25,0.195952,0.625655,1849.0,1849.0,4099.0,4260.0,1,2,2,1
