symbol_id,shape,x,y,x_rel,y_rel,hits
P0001,diamond,5022.0,638.5,0.532217,0.095655,1
P0002,diamond,5005.5,650.5,0.530468,0.097453,1
P0003,circle,5039.0,662.0,0.534019,0.099176,1
P0004,circle,5022.0,674.0,0.532217,0.100974,1
P0005,circle,5059.0,691.5,0.536138,0.103596,1
P0006,circle,5043.0,703.0,0.534443,0.105318,1
P0007,circle,5080.0,721.0,0.538364,0.108015,1
P0008,circle,5063.0,732.0,0.536562,0.109663,1
P0009,diamond,5320.5,733.0,0.563851,0.109813,1
P0010,circle,5103.0,755.0,0.540801,0.113109,1
P0011,circle,5087.0,766.0,0.539106,0.114757,1
P0012,diamond,4827.0,775.0,0.511552,0.116105,1
P0013,circle,5124.0,784.0,0.543027,0.117453,1
P0014,diamond,4811.0,788.0,0.509856,0.118052,1
P0015,circle,5108.0,795.0,0.541331,0.119101,1
P0016,diamond,4795.0,797.5,0.50816,0.119476,1
P0017,circle,4844.0,799.0,0.513353,0.1197,1
P0018,diamond,4676.5,807.0,0.495602,0.120899,2
P0019,circle,4828.0,810.0,0.511657,0.121348,1
P0020,circle,5148.0,818.0,0.54557,0.122547,1
P0021,circle,4812.0,821.0,0.509962,0.122996,1
P0022,circle,4865.0,828.0,0.515579,0.124045,1
P0023,circle,5131.0,829.0,0.543769,0.124195,1
P0024,circle,4848.0,839.0,0.513777,0.125693,1
P0025,circle,4829.0,846.0,0.511763,0.126742,1
P0026,circle,5168.0,847.0,0.54769,0.126891,1
P0027,circle,4885.0,857.0,0.517698,0.12839,1
P0028,circle,5152.0,858.0,0.545994,0.128539,1
P0029,circle,4869.0,868.5,0.516003,0.130112,1
P0030,circle,4849.0,875.0,0.513883,0.131086,1
P0031,circle,5192.0,881.0,0.550233,0.131985,1
P0032,circle,4909.0,891.0,0.520242,0.133483,1
P0033,circle,5176.0,892.0,0.548538,0.133633,1
P0034,circle,4893.0,902.0,0.518546,0.135131,1
P0035,circle,4870.0,904.0,0.516109,0.135431,1
P0036,diamond,5211.0,908.0,0.552247,0.13603,1
P0037,circle,4929.0,920.0,0.522361,0.137828,1
P0038,diamond,5195.0,920.0,0.550551,0.137828,1
P0039,diamond,4660.0,926.5,0.493853,0.138801,2
P0040,diamond,4889.0,931.5,0.518122,0.139551,1
P0041,circle,4913.0,932.0,0.520666,0.139625,1
P0042,circle,5230.0,936.0,0.55426,0.140225,1
P0043,diamond,4640.0,939.0,0.491734,0.140674,2
P0044,diamond,5439.0,944.5,0.576409,0.141498,1
P0045,circle,5214.0,947.0,0.552565,0.141873,1
P0046,diamond,5295.0,947.5,0.561149,0.141948,1
P0047,circle,4660.0,953.0,0.493853,0.142772,2
P0048,circle,4953.0,954.0,0.524905,0.142921,1
P0049,circle,4908.0,959.0,0.520136,0.14367,1
P0050,circle,5251.0,965.0,0.556486,0.144569,1
P0051,circle,4640.0,965.5,0.491734,0.144644,2
P0052,circle,4937.0,966.0,0.523209,0.144719,1
P0053,diamond,5394.5,974.0,0.571694,0.145918,1
P0054,circle,5235.0,976.0,0.55479,0.146217,1
P0055,circle,4974.0,983.0,0.52713,0.147266,1
P0056,circle,4929.0,988.0,0.522361,0.148015,1
P0057,circle,4660.0,989.0,0.493853,0.148165,2
P0058,diamond,5463.0,993.0,0.578953,0.148764,1
P0059,circle,5271.0,994.0,0.558605,0.148914,1
P0060,circle,4957.0,995.0,0.525329,0.149064,1
P0061,circle,4640.0,1001.0,0.491734,0.149963,2
P0062,diamond,5447.0,1003.5,0.577257,0.150337,1
P0063,circle,5255.0,1005.0,0.55691,0.150562,1
P0064,diamond,5350.0,1008.0,0.566978,0.151011,1
P0065,diamond,5431.5,1016.0,0.575615,0.15221,1
P0066,circle,5480.0,1016.0,0.580755,0.15221,1
P0067,circle,4949.0,1017.0,0.524481,0.15236,1
P0068,circle,4997.5,1017.0,0.529621,0.15236,1
P0069,circle,5288.0,1018.0,0.560407,0.152509,1
P0070,diamond,4759.0,1021.5,0.504345,0.153034,1
P0071,circle,4660.0,1024.0,0.493853,0.153408,2
P0072,diamond,5414.5,1027.5,0.573813,0.153933,1
P0073,circle,5464.0,1028.0,0.579059,0.154007,1
P0074,circle,4981.0,1029.0,0.527872,0.154157,1
P0075,circle,5272.0,1030.0,0.558711,0.154307,1
P0076,diamond,5540.5,1032.0,0.587166,0.154607,1
P0077,diamond,4739.0,1033.5,0.502226,0.154831,1
P0078,circle,4640.0,1037.0,0.491734,0.155356,2
P0079,circle,5448.0,1039.0,0.577363,0.155655,1
P0080,circle,5497.0,1041.0,0.582556,0.155955,1
P0081,circle,4966.0,1042.0,0.526282,0.156105,1
P0082,circle,5306.0,1043.0,0.562315,0.156255,1
P0083,diamond,5523.5,1044.5,0.585365,0.156479,1
P0084,other,5017.0,1045.0,0.531687,0.156554,1
P0085,diamond,5355.5,1045.0,0.56756,0.156554,1
P0086,circle,4759.0,1048.0,0.504345,0.157004,1
P0087,circle,5431.0,1050.5,0.575562,0.157378,1
P0088,diamond,5382.0,1051.0,0.570369,0.157453,1
P0089,circle,5481.0,1052.0,0.580861,0.157603,1
P0090,circle,5289.0,1054.0,0.560513,0.157903,1
P0091,diamond,5000.5,1056.0,0.529939,0.158202,1
P0092,circle,5556.0,1056.0,0.588809,0.158202,1
P0093,circle,4739.0,1060.0,0.502226,0.158801,1
P0094,circle,4660.0,1066.0,0.493853,0.1597,2
P0095,circle,4983.0,1066.0,0.528084,0.1597,1
P0096,circle,5540.0,1067.0,0.587113,0.15985,1
P0097,circle,5371.5,1068.0,0.569256,0.16,1
P0098,circle,5468.0,1068.0,0.579483,0.16,1
P0099,circle,5518.0,1070.0,0.584782,0.1603,1
P0100,circle,5036.0,1072.0,0.533701,0.160599,1
P0101,circle,5399.0,1073.0,0.57217,0.160749,1
P0102,circle,4640.0,1078.0,0.491734,0.161498,2
P0103,circle,5452.0,1080.0,0.577787,0.161798,1
P0104,circle,5573.5,1080.0,0.590663,0.161798,1
P0105,circle,5501.0,1081.0,0.58298,0.161948,1
P0106,circle,5020.0,1083.0,0.532005,0.162247,1
P0107,circle,4759.0,1083.5,0.504345,0.162322,1
P0108,diamond,5286.0,1084.0,0.560195,0.162397,1
P0109,circle,5557.0,1092.0,0.588915,0.163596,1
