pier_code,tracker_code,block_code,row_index,pier_type,x_local,y_local
T0001-P01,T0001,B1,1,SAPEND,1107.338,149.732
T0001-P02,T0001,B1,2,SAPE,1113.046,147.643
T0001-P03,T0001,B1,3,SMP,1124.176,145.424
T0001-P04,T0001,B1,4,SAP,1132.738,137.885
T0001-P05,T0001,B1,5,SAPE,1146.723,133.153
T0001-P06,T0001,B1,6,SAPEND,1152.43,126.495
T0002-P01,T0002,B4,1,SAPEND,-310.797,45.559
T0002-P02,T0002,B4,2,SAPE,-305.089,42.426
T0002-P03,T0002,B1,3,SAP,-214.761,-1.436
T0002-P04,T0002,B1,4,SAP,-209.196,-4.308
T0002-P05,T0002,B1,5,SAP,-197.78,-10.835
T0002-P06,T0002,B1,6,SAP,-192.072,-13.968
T0002-P07,T0002,B1,7,SAP,-175.233,-13.185
T0002-P08,T0002,B1,8,SAP,-169.525,-16.318
T0002-P09,T0002,B1,9,SAP,0.0,-94.904
T0002-P10,T0002,B1,10,SAP,5.708,-98.298
T0002-P11,T0002,B1,11,SAP,22.404,-108.22
T0002-P12,T0002,B1,12,SAP,27.969,-111.222
T0002-P13,T0002,B1,13,SAP,208.91,-188.373
T0002-P14,T0002,B1,14,SAP,214.618,-191.506
T0002-P15,T0002,B1,15,SAP,231.456,-201.427
T0002-P16,T0002,B1,16,SMP,237.164,-204.821
T0002-P17,T0002,B3,17,SAP,423.671,-283.668
T0002-P18,T0002,B3,18,SAP,429.236,-287.062
T0002-P19,T0002,B3,19,SAP,446.36,-296.984
T0002-P20,T0002,B3,20,SAP,451.925,-300.117
T0002-P21,T0002,B4,21,SAP,598.762,-365.649
T0002-P22,T0002,B4,22,SAP,604.469,-369.043
T0002-P23,T0002,B4,23,SAP,621.308,-371.654
T0002-P24,T0002,B4,24,SAP,627.016,-375.048
T0002-P25,T0002,B4,25,SAP,706.071,-411.078
T0002-P26,T0002,B4,26,SAP,711.778,-414.341
T0002-P27,T0002,B4,27,SAP,723.194,-420.999
T0002-P28,T0002,B4,28,SAP,728.76,-424.393
T0002-P29,T0002,B4,29,SAP,740.033,-430.789
T0002-P30,T0002,B4,30,SAPE,745.741,-434.053
T0002-P31,T0002,B4,31,SAPEND,810.668,-456.213
T0003-P01,T0003,B1,1,SAPEND,-180.941,370.348
T0003-P02,T0003,B1,2,SAPE,-175.233,366.954
T0003-P03,T0003,B1,3,SMP,629.87,9.138
T0003-P04,T0003,B1,4,SAP,932.104,-126.234
T0003-P05,T0003,B1,5,SAPE,937.812,-128.193
T0003-P06,T0003,B1,6,SAPEND,1036.595,-173.262
T0004-P01,T0004,B1,1,SAPEND,-180.941,271.658
T0004-P02,T0004,B1,2,SAPE,-175.233,268.395
T0004-P03,T0004,B1,3,SMP,971.774,-242.678
T0004-P04,T0004,B1,4,SAPE,977.34,-245.942
T0004-P05,T0004,B1,5,SAPEND,987.5,-252.155
T0005-P01,T0005,B4,1,SAPEND,-310.797,75.062
T0005-P02,T0005,B4,2,SAPE,-305.089,71.929
T0005-P03,T0005,B1,3,SAP,-214.761,29.633
T0005-P04,T0005,B1,4,SAP,-209.196,26.5
T0005-P05,T0005,B1,5,SAP,-194.961,22.877
T0005-P06,T0005,B1,6,SAP,-175.233,15.796
T0005-P07,T0005,B1,7,SAP,-169.383,12.532
T0005-P08,T0005,B1,8,SAP,0.0,-66.707
T0005-P09,T0005,B1,9,SMP,5.708,-70.101
T0005-P10,T0005,B1,10,SAP,25.4,-76.824
T0005-P11,T0005,B1,11,SAP,208.91,-158.87
T0005-P12,T0005,B1,12,SAP,214.618,-162.264
T0005-P13,T0005,B1,13,SAP,231.456,-171.924
T0005-P14,T0005,B1,14,SAP,237.164,-175.318
T0005-P15,T0005,B1,15,SAP,423.671,-254.296
T0005-P16,T0005,B1,16,SAPE,429.236,-257.56
T0005-P17,T0005,B1,17,SAPEND,449.143,-265.229
T0006-P01,T0006,B1,1,SAPEND,627.016,92.293
T0006-P02,T0006,B1,2,SAPE,632.723,89.813
T0006-P03,T0006,B1,3,SAPE,1050.829,-95.949
T0006-P04,T0006,B1,4,SAPEND,1056.537,-98.037
T0008-P01,T0008,B5,1,SAPEND,-364.451,-74.638
T0008-P02,T0008,B4,2,SAPE,446.36,-431.312
T0008-P03,T0008,B4,3,SMP,451.925,-434.575
T0008-P04,T0008,B5,4,SAP,598.762,-504.024
T0008-P05,T0008,B5,5,SAPE,604.469,-507.157
T0008-P06,T0008,B5,6,SAPEND,624.162,-516.229
T0009-P01,T0009,B1,1,SAPEND,-209.196,113.702
T0009-P02,T0009,B1,2,SAPE,-194.926,109.623
T0009-P03,T0009,B1,3,SAPE,-175.233,101.953
T0009-P04,T0009,B1,4,SAPEND,-169.525,98.82
T0010-P01,T0010,B1,1,SAPEND,932.247,-167.878
T0010-P02,T0010,B1,2,SAPE,937.812,-171.141
T0010-P03,T0010,B1,3,SAPEND,1011.159,-207.171
T0011-P01,T0011,B1,1,SAPEND,0.0,0.0
T0011-P02,T0011,B1,2,SAPE,5.708,-3.264
T0011-P03,T0011,B1,3,SAPE,22.546,-13.185
T0011-P04,T0011,B1,4,SAPEND,28.254,-16.448
T0012-P01,T0012,B1,1,SAPEND,-180.941,407.944
T0012-P02,T0012,B1,2,SAPE,-175.233,404.55
T0012-P03,T0012,B1,3,SMP,327.635,181.454
T0012-P04,T0012,B1,4,SAPE,333.343,178.973
T0012-P05,T0012,B1,5,SAPEND,629.87,46.702
T0013-P01,T0013,B1,1,SAPEND,1050.829,-2.741
T0013-P02,T0013,B1,2,SAPE,1059.249,-9.464
T0013-P03,T0013,B1,3,SAP,1067.668,-11.618
T0013-P04,T0013,B1,4,SMP,1079.084,-15.404
T0013-P05,T0013,B1,5,SAP,1084.792,-17.362
T0013-P06,T0013,B1,6,SAPE,1095.922,-21.278
T0013-P07,T0013,B1,7,SAPEND,1101.63,-23.106
T0014-P01,T0014,B5,1,SAPEND,-361.597,7.702
T0014-P02,T0014,B1,2,SAPE,-175.233,-69.579
T0014-P03,T0014,B1,3,SAP,-169.525,-72.843
T0014-P04,T0014,B1,4,SAP,2.854,-152.408
T0014-P05,T0014,B1,5,SAP,22.546,-159.131
T0014-P06,T0014,B1,6,SAP,28.254,-162.525
T0014-P07,T0014,B1,7,SAP,208.91,-247.117
T0014-P08,T0014,B1,8,SAP,214.903,-250.772
T0014-P09,T0014,B1,9,SAP,232.455,-249.858
T0014-P10,T0014,B1,10,SMP,237.45,-253.252
T0014-P11,T0014,B3,11,SAP,423.528,-341.499
T0014-P12,T0014,B3,12,SAP,429.236,-344.762
T0014-P13,T0014,B3,13,SAP,449.107,-351.909
T0014-P14,T0014,B4,14,SAP,598.762,-415.255
T0014-P15,T0014,B4,15,SAP,604.469,-418.649
T0014-P16,T0014,B4,16,SAP,621.308,-430.659
T0014-P17,T0014,B4,17,SAP,627.016,-433.792
T0014-P18,T0014,B4,18,SAP,706.071,-468.516
T0014-P19,T0014,B4,19,SAPE,711.779,-471.649
T0014-P20,T0014,B4,20,SAPEND,723.194,-472.694
T0015-P01,T0015,B1,1,SAPEND,1163.846,208.737
T0015-P02,T0015,B1,2,SAPEND,1169.554,206.648
T0018-P01,T0018,B4,1,SAPEND,-305.089,109.394
T0018-P02,T0018,B1,2,SAPE,-214.761,67.229
T0018-P03,T0018,B1,3,SAP,-209.196,64.096
T0018-P04,T0018,B1,4,SAP,-194.926,61.616
T0018-P05,T0018,B1,5,SAP,-192.072,54.436
T0018-P06,T0018,B1,6,SAP,-175.233,55.48
T0018-P07,T0018,B1,7,SMP,-169.525,52.086
T0018-P08,T0018,B1,8,SAP,0.0,-26.5
T0018-P09,T0018,B1,9,SAP,5.708,-29.633
T0018-P10,T0018,B1,10,SAP,25.4,-36.552
T0018-P11,T0018,B1,11,SAP,208.91,-121.535
T0018-P12,T0018,B1,12,SAPE,214.618,-124.929
T0018-P13,T0018,B1,13,SAPEND,231.456,-134.85
T0019-P01,T0019,B5,1,SAPEND,-361.597,-101.17
T0019-P02,T0019,B5,2,SAPE,598.762,-532.873
T0019-P03,T0019,B5,3,SMP,604.469,-536.137
T0019-P04,T0019,B5,4,SAP,629.87,-549.191
T0019-P05,T0019,B5,5,SAPE,655.27,-560.157
T0019-P06,T0019,B5,6,SAPEND,660.978,-563.29
T0021-P01,T0021,B1,1,SAPEND,632.724,138.766
T0022-P01,T0022,B1,1,SAPEND,327.635,266.828
T0022-P02,T0022,B1,2,SAPE,333.414,260.04
T0022-P03,T0022,B1,3,SAPE,627.016,131.978
T0022-P04,T0022,B1,4,SAPEND,632.724,129.498
T0027-P01,T0027,B1,1,SAPEND,1163.846,257.037
T0028-P01,T0028,B1,1,SAPEND,1163.846,168.269
T0029-P01,T0029,B1,1,SAPEND,1163.846,286.54
