pier_id,label,pier_type,x,y,x_rel,y_rel,symbol_x0,symbol_y0,symbol_x1,symbol_y1
VP00001,P1,SAPEND,1267.934875,2087.35144,0.376242,0.875567,1266.569946,2085.48999,1269.390015,2091.459961
VP00002,P2,SAP,1257.284851,2087.321533,0.373082,0.875554,1254.98999,2086.120117,1259.699951,2090.830078
VP00003,P3,SAP,1244.534851,2087.35144,0.369298,0.875567,1242.23999,2086.120117,1246.949951,2090.830078
VP00004,P4,SAP,1229.654968,2087.35144,0.364883,0.875567,1227.420044,2086.120117,1232.130005,2090.830078
VP00005,P5,SAP,1214.924866,2087.35144,0.360512,0.875567,1212.630005,2086.120117,1217.339966,2090.830078
VP00006,P6,SAP,1198.034973,2087.321533,0.3555,0.875554,1195.73999,2086.120117,1200.449951,2090.830078
VP00007,P7,SAP,1183.154968,2087.35144,0.351085,0.875567,1180.920044,2086.120117,1185.630005,2090.830078
VP00008,P8,SAP,1166.294861,2087.35144,0.346082,0.875567,1164.030029,2086.120117,1168.73999,2090.830078
VP00009,P9,SMP,1150.244934,2087.321533,0.341319,0.875554,1147.589966,2085.790039,1152.959961,2091.160156
VP00010,P10,SAP,1134.104919,2087.202271,0.33653,0.875504,1131.839966,2086.120117,1136.549927,2090.830078
VP00011,P11,SAP,1117.244934,2087.322144,0.331527,0.875555,1114.949951,2086.120117,1119.659912,2090.830078
VP00012,P12,SAP,1102.454895,2087.232178,0.327138,0.875517,1100.130005,2086.120117,1104.839966,2090.830078
VP00013,P13,SAP,1085.534973,2087.232178,0.322117,0.875517,1083.23999,2086.120117,1087.949951,2090.830078
VP00014,P14,SAP,1070.684875,2087.232178,0.317711,0.875517,1068.449951,2086.120117,1073.159912,2090.830078
VP00015,P15,SAP,1055.864929,2087.262207,0.313313,0.875529,1053.630005,2086.120117,1058.339966,2090.830078
VP00016,P16,SAP,1043.144958,2087.262207,0.309539,0.875529,1040.880005,2086.120117,1045.589966,2090.830078
VP00017,P17,SAPEND,1032.524963,2087.262207,0.306387,0.875529,1031.160034,2085.48999,1033.97998,2091.459961
VP00018,P1,SAPEND,1270.544861,2094.431519,0.377016,0.878537,1269.179932,2092.570068,1272.0,2098.540039
VP00019,P2,SAP,1259.894958,2094.37146,0.373856,0.878512,1257.599976,2093.169922,1262.309937,2097.879883
VP00020,P3,SAP,1247.144958,2094.401489,0.370073,0.878524,1244.849976,2093.169922,1249.559937,2097.879883
VP00021,P4,SAP,1232.264954,2094.431519,0.365657,0.878537,1230.059937,2093.169922,1234.769897,2097.879883
VP00022,P5,SAP,1217.534851,2094.401489,0.361286,0.878524,1215.23999,2093.169922,1219.949951,2097.879883
VP00023,P6,SAP,1200.644958,2094.401489,0.356274,0.878524,1198.349976,2093.169922,1203.059937,2097.879883
VP00024,P7,SAP,1185.764954,2094.431519,0.351859,0.878537,1183.530029,2093.169922,1188.23999,2097.879883
VP00025,P8,SAP,1168.904968,2094.401489,0.346856,0.878524,1166.640015,2093.169922,1171.349976,2097.879883
VP00026,P9,SMP,1152.854919,2094.37146,0.342093,0.878512,1150.199951,2092.870117,1155.569946,2098.23999
VP00027,P10,SAP,1136.714905,2094.252197,0.337304,0.878461,1134.449951,2093.169922,1139.159912,2097.879883
